author_id,username,fullname,biography,verified,joined_datetime,tweets_count,following_count,followers_count,likes_count,profile_picture_url,banner_picture_url
859819481874432000,seergiiii68,Sergi,"cuando güerva de la lezion, curtuá va ze peo que una cajkilla mañanera, y me zuan lo cohone",True,2017-05-03 17:18:00,20331,505,136,43064,https://pbs.twimg.com/profile_images/1849202702930087937/TncW84vO.jpg,https://pbs.twimg.com/profile_banners/859819481874432000/1705877962/1500x500
nan,ClaudioGP8,Claudio GPZ 🇧🇷🇯🇴,"I stand with the oppressed people of the world, who suffer, fight and certainly will win",True,2019-04-28 23:59:00,19191,572,835,498118,https://pbs.twimg.com/profile_images/1553587882404757505/pFH-ry8F.jpg,
93115278,luisvegaba,Luis,"Por la izquierda SIEMPRE. Papá de Antonio y Valentina. Vivo donde se baña la luna.
Por aquí opiniones personales, nada más.",True,2009-11-28 04:03:00,25892,3167,1535,38530,https://pbs.twimg.com/profile_images/1609743115807506432/GO0sjnFr.jpg,https://pbs.twimg.com/profile_banners/93115278/1731206376/1500x500
1252529308326924288,Todoesfake1,Todoesfake,"Comunistas, seres irrecuperables, le dan palo y aplauden como focas.
sigueme y te sigo NO SOY UN PUTO 🤖",True,2020-04-21 09:27:00,63628,952,524,53129,https://pbs.twimg.com/profile_images/1404058980238905346/LcCYirKo.jpg,https://pbs.twimg.com/profile_banners/1252529308326924289/1587914837/1500x500
134924949,fjechanove,Javier,"Por favor, perroflautas, comunistoides, giliprogres, feminazis, catanazis y demás gentuza: aire!",True,2010-04-19 21:20:00,80142,4887,3056,90568,https://pbs.twimg.com/profile_images/1527756287634726914/Ody3KE0o.jpg,https://pbs.twimg.com/profile_banners/134924949/1739984401/1500x500
nan,ansite20,Galdosiano🇮🇨,🇮🇨,True,2017-06-29 14:38:00,28301,646,242,35703,https://pbs.twimg.com/profile_images/1246846645905563650/RheL-rXD.jpg,
915286979721486336,Noininski,Ester Martín Martin,Mu jarta,True,2017-10-03 18:46:00,65061,1050,1048,210770,https://pbs.twimg.com/profile_images/1487762109903560706/M471gzHM.jpg,https://pbs.twimg.com/profile_banners/915286979721486336/1597006900/1500x500
930833310707781632,LafferLouis,Louis Laffer 🇪🇸 ✠,qui fait la loi fait le piège ✈,True,2017-11-15 16:22:00,18361,427,90,7890,https://pbs.twimg.com/profile_images/934555432378609664/whq_7WBW.jpg,https://pbs.twimg.com/profile_banners/930833310707781632/1593781210/1500x500
nan,Alcornoqueorgu1,Alcornoqueorgulloso 🇪🇸,"Infante,orgulloso de ser español 🇪🇸",True,2020-03-23 22:27:00,37953,2503,1566,23999,https://pbs.twimg.com/profile_images/1458911130315898885/PJISG1Pv.jpg,
849165673922265088,MrPaPa_21,MrPaPa21,"// Madridista // Jugando en Xbox Serie X.. Fan de Marvel, DC, Dragón ball etc..",True,2017-04-04 07:44:00,34484,513,241,26881,https://pbs.twimg.com/profile_images/1614573717782233089/Ugs5pr1O.jpg,https://pbs.twimg.com/profile_banners/849165673922265089/1673779580/1500x500
521515385,anacrisire,🇪🇦Diegooollllll.....🇪🇸,Entrenador Nacional de Futbol....,True,2012-03-11 17:44:00,10941,754,264,3430,https://pbs.twimg.com/profile_images/1847540514641317888/VvV9CcIO.jpg,https://pbs.twimg.com/profile_banners/521515385/1729323065/1500x500
1150508355250741248,JIVELEZZ,Juan Ignacio Vélez,"Burgalesista siempre, en las duras y en las maduras..Accionista y abonado número 182.",True,2019-07-14 20:52:00,2374,27,70,22882,https://pbs.twimg.com/profile_images/1556244006471929862/HmEkhpfv.jpg,https://pbs.twimg.com/profile_banners/1150508355250741249/1674079149/1500x500
