"author","count_star()"
"828910854724788224",1
"32344875",1
"1633591902409719809",1
"1056616783715680256",1
"856273389182492676",1
"1635362507983319065",1
"106414083",1
"1664899038611664896",1
"1136068684059779072",1
"2752801439",1
"1411047035374080002",1
"1237464119667765250",1
"87473926",1
"1105662772816371714",1
"1746928287941636100",1
"410088460",1
"1555160739316473856",1
"1764694563367645186",1
"1093567818187137024",1
"1247085525556740097",1
"1678511920607899648",1
"1621575919667134464",1
"1384701033025314818",1
"1103303518763577350",1
"3127900143",1
"1600502788647227395",1
"2158128490",1
"1721504318052786176",1
"1675169847800463362",1
"469432518",1
"177533849",1
"1535870879263072258",1
"498821520",1
"1435647384902590467",1
"1238177362707185667",1
"428553172",1
"2900552636",1
"856267048820846592",1
"29734218",1
"43247307",1
"96154923",1
"524830915",1
"1318560558",1
"1005824252296212481",1
"1245703915187945472",1
"271002561",1
"402317038",1
"792404716307226624",1
"561267266",1
"885244715993628672",1
"521515385",1
"1599142206891245569",1
"1441454548288212992",1
"1569379158794330113",1
"1551571149234094081",1
"775710086937346048",1
"1757712041693839361",1
"789535408271007744",1
"1242586523075325952",1
"1594243234603188225",1
"1227334340960571394",1
"964108503567753216",1
"1553675761978073089",1
"1275054621120245761",1
"264342915",1
"3364567833",1
"76682484",1
"395373594",1
"142063283",1
"1952655066",1
"1355557446220181508",1
"1358131573732868096",1
"1316873904",1
"1552314057776144386",1
"1633135726375124997",1
"271010097",1
"194923695",1
"1793281853861797888",1
"6871902",1
"1379494566009704454",1
"1438462915703676935",1
"1723275545255792640",1
"1587108623930609667",1
"332962653",1
"1266126939967938560",1
"396831467",1
"1260291097395367938",1
"1217931109801041920",1
"2737381686",1
"1053551942",1
"1509977442",1
"637146085",1
"1649367209712533504",1
"1546222850503237639",1
"1347701477918339072",1
"1138206557299269632",1
"1777723249800941568",1
"1523410902363557888",1
"1290414754016763907",1
"483941787",1
"1471666680",1
"2949467441",1
"1159927822451978240",1
"1580309165230243842",1
"1303679483610894337",1
"1470499617670410253",1
"1112042640",1
"1143147144",1
"471422231",1
"3056866036",1
"490759947",1
